"outcome","order","canonical_term","variable_label","channel","m3_agg_coefficient","m3_agg_standard_error","m3_agg_p_value","m3_agg_significance","m3_og_coefficient","m3_og_standard_error","m3_og_p_value","m3_og_significance","m3_min_coefficient","m3_min_standard_error","m3_min_p_value","m3_min_significance","m3_sim_coefficient","m3_sim_standard_error","m3_sim_p_value","m3_sim_significance"
"ECI","1","INST","Calidad institucional","Institucional","0.266705","0.136729","0.056955","*","0.265308","0.140189","0.064464","*","0.222115","0.126189","0.08475","*","0.2678691730140966","0.13793421","0.058017146","*"
"ECI","2","LN1P_OILPC","log(1 + OILPC)","Abundancia","0.028347","0.037603","0.454618","","0.018858","0.040779","0.645843","","0.016566","0.036241","0.649664","","0.0257683551232152","0.036987416","0.48936403",""
"ECI","3","LN1P_GASPC","log(1 + GASPC)","Abundancia","0.039635","0.0343","0.253587","","0.04066","0.035959","0.263786","","0.036263","0.034793","0.302514","","0.0396976864306043","0.03405828","0.24954329",""
"ECI","4","LN1P_COALPC","log(1 + COALPC)","Abundancia","0.010906","0.02643","0.681723","","0.004155","0.030497","0.892186","","0.0194","0.023442","0.412002","","0.0202685832053854","0.025073234","0.42286307",""
"ECI","5","HHI","HHI","Estructura exportadora","-0.535483","0.225234","0.021465","**","-0.590503","0.232107","0.014229","**","-0.598324","0.197578","0.00395","***","-0.5746616898885819","0.23361404","0.01755093","**"
"ECI","6","PEXP","PEXP","Estructura exportadora","-0.004199","0.001565","0.009975","***","-0.004187","0.001565","0.01018","**","-0.004322","0.001609","0.009918","***","-0.0042333279556088","0.0016052319","0.011231004","**"
"ECI","7","FEXP","FEXP","Estructura exportadora","-0.0068","0.001884","0.000732","***","-0.006909","0.002","0.001163","***","-0.007271","0.001959","0.000536","***","-0.0070011526464361","0.0019621705","0.00082794135","***"
"ECI","8","VOL","VOL","Macroeconomía","-0.002903","0.002447","0.24145","","-0.003127","0.002603","0.235583","","-0.002097","0.002519","0.409281","","-0.0022107635290803","0.0026284442","0.40446708",""
"ECI","9","RER","RER","Macroeconomía","-0.087319","0.098443","0.3795","","-0.096169","0.09753","0.329059","","-0.079599","0.098038","0.420842","","-0.0826052499881517","0.097568147","0.40139636",""
"ECI","10","HUMCAP","HUMCAP","Capacidades productivas","-0.053994","0.224399","0.810877","","-0.048237","0.227704","0.833127","","-0.03695","0.22215","0.868596","","-0.0574792573490785","0.2249334","0.79939872",""
"ECI","11","INNOV","INNOV","Capacidades productivas","-0.036118","0.048411","0.459263","","-0.032353","0.049068","0.51282","","-0.036885","0.050883","0.472032","","-0.0348768267660669","0.049177185","0.48162648",""
"ECI","12","NET","NET","Capacidades productivas","-0.001305","0.00208","0.533156","","-0.001056","0.002042","0.607392","","-0.001085","0.002168","0.619242","","-0.0014461904336295","0.0020567039","0.48535323",""
"ECI","13","LOG_GDPPC","log(GDPPC)","Controles económicos","-0.045886","0.2212","0.836544","","-0.049191","0.22144","0.825146","","-0.065364","0.231709","0.779082","","-0.0482211862742057","0.22147359","0.82856333",""
"ECI","14","GOVCONS","GOVCONS","Controles económicos","-0.006048","0.008948","0.502371","","-0.005633","0.009213","0.543815","","-0.002716","0.009087","0.766276","","-0.0055598591765945","0.0091508478","0.54633087",""
"ECI","15","FIN","FIN","Controles económicos","-0.000998","0.002355","0.673786","","-0.000966","0.002462","0.696573","","-0.000481","0.002265","0.832901","","-0.0009791226426994","0.0024123781","0.68663853",""
"DIVX","1","INST","Calidad institucional","Institucional","0.017472","0.028185","0.538255","","0.015207","0.028095","0.590829","","0.033855","0.025226","0.185883","","0.0163219843559727","0.027968707","0.56223512",""
"DIVX","2","LN1P_OILPC","log(1 + OILPC)","Abundancia","0.007643","0.008984","0.399143","","0.008459","0.008234","0.309436","","-0.001561","0.008326","0.852056","","0.0088743388908937","0.0084942365","0.30137238",""
"DIVX","3","LN1P_GASPC","log(1 + GASPC)","Abundancia","0.004935","0.006661","0.462357","","0.004727","0.006556","0.474344","","0.008192","0.007138","0.256818","","0.0047902634662268","0.0065495837","0.46810007",""
"DIVX","4","LN1P_COALPC","log(1 + COALPC)","Abundancia","-0.008548","0.007838","0.280944","","-0.014871","0.00684","0.034653","**","-0.01052","0.007629","0.17432","","-0.0135526847881415","0.0072832434","0.068903245","*"
"DIVX","6","PEXP","PEXP","Estructura exportadora","0.001533","0.000627","0.018141","**","0.001532","0.000635","0.019617","**","0.001533","0.000647","0.021954","**","0.0015165414871231","0.00063887087","0.02165602","**"
