"model","outcome","order","term","canonical_term","variable_label","channel","term_role","coefficient","standard_error","p_value","ci_lower","ci_upper","significance"
"M3_AGG","ECI","1","rents","RENTS","RENTS agregado","Rentas","resource","-0.009795","0.004181","0.023337","-0.018202","-0.001388","**"
"M3_AGG","ECI","3","c.rents#c.inst","RENTS_X_INST","RENTS x INST","Institucional","resource","-0.005199","0.003453","0.138759","-0.012142","0.001744",""
"M3_OG","ECI","1","rents_oil_gas","RENTS_OIL_GAS","Rentas de petróleo y gas","Rentas","resource","-0.005604","0.005756","0.33513","-0.017178","0.005969",""
"M3_OG","ECI","3","c.rents_oil_gas#c.inst","RENTS_OIL_GAS_X_INST","Petróleo y gas x INST","Institucional","resource","-0.005064","0.003928","0.203453","-0.012961","0.002833",""
"M3_MIN","ECI","1","rents_mining","RENTS_MINING","Rentas de minería y carbón","Rentas","resource","-0.012179","0.003837","0.002624","-0.019894","-0.004464","***"
"M3_MIN","ECI","3","c.rents_mining#c.inst","RENTS_MINING_X_INST","Minería y carbón x INST","Institucional","resource","-0.001435","0.004225","0.735614","-0.00993","0.00706",""
"M3_SIM","ECI","1","rents_oil_gas","RENTS_OIL_GAS","Rentas de petróleo y gas","Rentas","resource","-0.0072542005719523","0.0057355305","0.21205556","-0.018786257","0.0042778566",""
"M3_SIM","ECI","2","rents_mining","RENTS_MINING","Rentas de minería y carbón","Rentas","resource","-0.0135974258260262","0.0039144447","0.0010980716","-0.021467945","-0.0057269069","***"
"M3_SIM","ECI","4","c.rents_oil_gas#c.inst","RENTS_OIL_GAS_X_INST","Petróleo y gas x INST","Institucional","resource","-0.0056538779833719","0.0039092535","0.15459713","-0.013513959","0.0022062028",""
"M3_SIM","ECI","5","c.rents_mining#c.inst","RENTS_MINING_X_INST","Minería y carbón x INST","Institucional","resource","-0.0021268324145991","0.004286767","0.62206066","-0.010745955","0.0064922902",""
"M3_AGG","DIVX","1","rents","RENTS","RENTS agregado","Rentas","resource","-0.003536","0.001296","0.008862","-0.006142","-0.00093","***"
"M3_AGG","DIVX","3","c.rents#c.inst","RENTS_X_INST","RENTS x INST","Institucional","resource","0.000948","0.001184","0.427406","-0.001433","0.003329",""
"M3_OG","DIVX","1","rents_oil_gas","RENTS_OIL_GAS","Rentas de petróleo y gas","Rentas","resource","-0.004709","0.001348","0.00104","-0.00742","-0.001998","***"
"M3_OG","DIVX","3","c.rents_oil_gas#c.inst","RENTS_OIL_GAS_X_INST","Petróleo y gas x INST","Institucional","resource","0.001273","0.001292","0.329299","-0.001324","0.00387",""
"M3_MIN","DIVX","1","rents_mining","RENTS_MINING","Rentas de minería y carbón","Rentas","resource","-0.000469","0.001855","0.801298","-0.004199","0.003261",""
"M3_MIN","DIVX","3","c.rents_mining#c.inst","RENTS_MINING_X_INST","Minería y carbón x INST","Institucional","resource","-0.000747","0.002342","0.751058","-0.005456","0.003962",""
"M3_SIM","DIVX","1","rents_oil_gas","RENTS_OIL_GAS","Rentas de petróleo y gas","Rentas","resource","-0.0048487999837241","0.0013854586","0.0010159025","-0.0076344511","-0.0020631487","***"
"M3_SIM","DIVX","2","rents_mining","RENTS_MINING","Rentas de minería y carbón","Rentas","resource","-0.0014128563697215","0.0018924191","0.45895392","-0.0052178199","0.0023921072",""
"M3_SIM","DIVX","4","c.rents_oil_gas#c.inst","RENTS_OIL_GAS_X_INST","Petróleo y gas x INST","Institucional","resource","0.0012093830587751","0.0013012802","0.35734296","-0.0014070162","0.0038257823",""
"M3_SIM","DIVX","5","c.rents_mining#c.inst","RENTS_MINING_X_INST","Minería y carbón x INST","Institucional","resource","-0.0008969832927308","0.0022619106","0.69344956","-0.0054448592","0.0036508928",""
