model,variable,vif,assessment
DIVX,rents_x_inst,1.9291,LOW
DIVX,rents,1.9054,LOW
DIVX,log_gdppc,1.5026,LOW
DIVX,fexp,1.4738,LOW
DIVX,ln1p_oilpc,1.4599,LOW
DIVX,innov,1.3238,LOW
DIVX,inst,1.2928,LOW
DIVX,fin,1.2335,LOW
DIVX,net,1.2270,LOW
DIVX,govcons,1.2014,LOW
DIVX,ln1p_coalpc,1.1700,LOW
DIVX,pexp,1.1614,LOW
DIVX,vol,1.1159,LOW
DIVX,humcap,1.0992,LOW
DIVX,rer,1.0869,LOW
DIVX,ln1p_gaspc,1.0836,LOW
ECI,rents,1.9559,LOW
ECI,rents_x_inst,1.9344,LOW
ECI,log_gdppc,1.5780,LOW
ECI,fexp,1.4934,LOW
ECI,ln1p_oilpc,1.4636,LOW
ECI,hhi,1.3723,LOW
ECI,innov,1.3273,LOW
ECI,inst,1.2943,LOW
ECI,fin,1.2404,LOW
ECI,net,1.2389,LOW
ECI,govcons,1.2178,LOW
ECI,pexp,1.2038,LOW
ECI,ln1p_coalpc,1.1724,LOW
ECI,vol,1.1177,LOW
ECI,humcap,1.1169,LOW
ECI,rer,1.0941,LOW
ECI,ln1p_gaspc,1.0846,LOW
