order,outcome,model,sample_variable,country_id,country_iso3_code,country,sample_observations,first_year,last_year,calendar_span,internal_gaps,excluded
826,divx,common_t0_t3,sample_common_t0_t3_divx,1,AGO,Angola,18,2004,2021,18,0,0
827,divx,common_t0_t3,sample_common_t0_t3_divx,2,ALB,Albania,18,2004,2021,18,0,0
828,divx,common_t0_t3,sample_common_t0_t3_divx,3,ARE,United Arab Emirates,18,2004,2021,18,0,0
829,divx,common_t0_t3,sample_common_t0_t3_divx,4,ATG,Antigua and Barbuda,18,2004,2021,18,0,0
830,divx,common_t0_t3,sample_common_t0_t3_divx,5,AUS,Australia,18,2004,2021,18,0,0
831,divx,common_t0_t3,sample_common_t0_t3_divx,6,BDI,Burundi,18,2004,2021,18,0,0
832,divx,common_t0_t3,sample_common_t0_t3_divx,7,BHR,Bahrain,18,2004,2021,18,0,0
833,divx,common_t0_t3,sample_common_t0_t3_divx,8,BOL,Bolivia,18,2004,2021,18,0,0
834,divx,common_t0_t3,sample_common_t0_t3_divx,9,BRN,Brunei,18,2004,2021,18,0,0
835,divx,common_t0_t3,sample_common_t0_t3_divx,10,CAF,Central African Republic,18,2004,2021,18,0,0
836,divx,common_t0_t3,sample_common_t0_t3_divx,11,CHL,Chile,18,2004,2021,18,0,0
837,divx,common_t0_t3,sample_common_t0_t3_divx,12,CMR,Cameroon,18,2004,2021,18,0,0
838,divx,common_t0_t3,sample_common_t0_t3_divx,13,COD,Democratic Republic of the Congo,14,2004,2021,18,4,0
839,divx,common_t0_t3,sample_common_t0_t3_divx,14,COG,Republic of the Congo,15,2007,2021,15,0,0
840,divx,common_t0_t3,sample_common_t0_t3_divx,15,COL,Colombia,18,2004,2021,18,0,0
841,divx,common_t0_t3,sample_common_t0_t3_divx,16,DZA,Algeria,18,2004,2021,18,0,0
842,divx,common_t0_t3,sample_common_t0_t3_divx,17,ECU,Ecuador,18,2004,2021,18,0,0
843,divx,common_t0_t3,sample_common_t0_t3_divx,18,EGY,Egypt,18,2004,2021,18,0,0
844,divx,common_t0_t3,sample_common_t0_t3_divx,19,GAB,Gabon,18,2004,2021,18,0,0
845,divx,common_t0_t3,sample_common_t0_t3_divx,20,GHA,Ghana,18,2004,2021,18,0,0
846,divx,common_t0_t3,sample_common_t0_t3_divx,21,GIN,Guinea,18,2004,2021,18,0,0
847,divx,common_t0_t3,sample_common_t0_t3_divx,22,GMB,The Gambia,18,2004,2021,18,0,0
848,divx,common_t0_t3,sample_common_t0_t3_divx,23,GUY,Guyana,18,2004,2021,18,0,0
849,divx,common_t0_t3,sample_common_t0_t3_divx,24,IDN,Indonesia,18,2004,2021,18,0,0
850,divx,common_t0_t3,sample_common_t0_t3_divx,25,IND,India,18,2004,2021,18,0,0
851,divx,common_t0_t3,sample_common_t0_t3_divx,26,IRN,Iran,18,2004,2021,18,0,0
852,divx,common_t0_t3,sample_common_t0_t3_divx,27,IRQ,Iraq,18,2004,2021,18,0,0
853,divx,common_t0_t3,sample_common_t0_t3_divx,28,ISR,Israel,18,2004,2021,18,0,0
854,divx,common_t0_t3,sample_common_t0_t3_divx,29,JAM,Jamaica,18,2004,2021,18,0,0
855,divx,common_t0_t3,sample_common_t0_t3_divx,30,JOR,Jordan,18,2004,2021,18,0,0
856,divx,common_t0_t3,sample_common_t0_t3_divx,31,KWT,Kuwait,17,2004,2020,17,0,0
857,divx,common_t0_t3,sample_common_t0_t3_divx,32,LBR,Liberia,18,2004,2021,18,0,0
858,divx,common_t0_t3,sample_common_t0_t3_divx,33,LBY,Libya,18,2004,2021,18,0,0
859,divx,common_t0_t3,sample_common_t0_t3_divx,34,MNG,Mongolia,18,2004,2021,18,0,0
860,divx,common_t0_t3,sample_common_t0_t3_divx,35,MRT,Mauritania,18,2004,2021,18,0,0
861,divx,common_t0_t3,sample_common_t0_t3_divx,36,NGA,Nigeria,18,2004,2021,18,0,0
862,divx,common_t0_t3,sample_common_t0_t3_divx,37,NOR,Norway,18,2004,2021,18,0,0
863,divx,common_t0_t3,sample_common_t0_t3_divx,38,NRU,Nauru,0,,,0,0,1
864,divx,common_t0_t3,sample_common_t0_t3_divx,39,OMN,Oman,18,2004,2021,18,0,0
865,divx,common_t0_t3,sample_common_t0_t3_divx,40,PER,Peru,18,2004,2021,18,0,0
866,divx,common_t0_t3,sample_common_t0_t3_divx,41,PNG,Papua New Guinea,18,2004,2021,18,0,0
867,divx,common_t0_t3,sample_common_t0_t3_divx,42,QAT,Qatar,18,2004,2021,18,0,0
868,divx,common_t0_t3,sample_common_t0_t3_divx,43,RUS,Russian Federation,18,2004,2021,18,0,0
869,divx,common_t0_t3,sample_common_t0_t3_divx,44,SAU,Saudi Arabia,18,2004,2021,18,0,0
870,divx,common_t0_t3,sample_common_t0_t3_divx,45,SLE,Sierra Leone,0,,,0,0,1
871,divx,common_t0_t3,sample_common_t0_t3_divx,46,SUR,Suriname,18,2004,2021,18,0,0
