order,outcome,model,sample_variable,year,observations,countries,excluded_countries
391,divx,common_t0_t3,sample_common_t0_t3_divx,1996,0,0,55
392,divx,common_t0_t3,sample_common_t0_t3_divx,1997,0,0,55
393,divx,common_t0_t3,sample_common_t0_t3_divx,1998,0,0,55
394,divx,common_t0_t3,sample_common_t0_t3_divx,1999,0,0,55
395,divx,common_t0_t3,sample_common_t0_t3_divx,2000,0,0,55
396,divx,common_t0_t3,sample_common_t0_t3_divx,2001,0,0,55
397,divx,common_t0_t3,sample_common_t0_t3_divx,2002,0,0,55
398,divx,common_t0_t3,sample_common_t0_t3_divx,2003,0,0,55
399,divx,common_t0_t3,sample_common_t0_t3_divx,2004,52,52,3
400,divx,common_t0_t3,sample_common_t0_t3_divx,2005,52,52,3
401,divx,common_t0_t3,sample_common_t0_t3_divx,2006,52,52,3
402,divx,common_t0_t3,sample_common_t0_t3_divx,2007,53,53,2
403,divx,common_t0_t3,sample_common_t0_t3_divx,2008,53,53,2
404,divx,common_t0_t3,sample_common_t0_t3_divx,2009,53,53,2
405,divx,common_t0_t3,sample_common_t0_t3_divx,2010,53,53,2
406,divx,common_t0_t3,sample_common_t0_t3_divx,2011,53,53,2
407,divx,common_t0_t3,sample_common_t0_t3_divx,2012,52,52,3
408,divx,common_t0_t3,sample_common_t0_t3_divx,2013,52,52,3
409,divx,common_t0_t3,sample_common_t0_t3_divx,2014,52,52,3
410,divx,common_t0_t3,sample_common_t0_t3_divx,2015,51,51,4
411,divx,common_t0_t3,sample_common_t0_t3_divx,2016,52,52,3
412,divx,common_t0_t3,sample_common_t0_t3_divx,2017,51,51,4
413,divx,common_t0_t3,sample_common_t0_t3_divx,2018,51,51,4
414,divx,common_t0_t3,sample_common_t0_t3_divx,2019,51,51,4
415,divx,common_t0_t3,sample_common_t0_t3_divx,2020,51,51,4
416,divx,common_t0_t3,sample_common_t0_t3_divx,2021,49,49,6
209,divx,t0,sample_t0_divx,1996,51,51,4
210,divx,t0,sample_t0_divx,1997,0,0,55
211,divx,t0,sample_t0_divx,1998,51,51,4
212,divx,t0,sample_t0_divx,1999,0,0,55
213,divx,t0,sample_t0_divx,2000,53,53,2
214,divx,t0,sample_t0_divx,2001,0,0,55
215,divx,t0,sample_t0_divx,2002,53,53,2
216,divx,t0,sample_t0_divx,2003,52,52,3
217,divx,t0,sample_t0_divx,2004,52,52,3
218,divx,t0,sample_t0_divx,2005,53,53,2
219,divx,t0,sample_t0_divx,2006,53,53,2
220,divx,t0,sample_t0_divx,2007,53,53,2
221,divx,t0,sample_t0_divx,2008,53,53,2
222,divx,t0,sample_t0_divx,2009,53,53,2
223,divx,t0,sample_t0_divx,2010,53,53,2
224,divx,t0,sample_t0_divx,2011,53,53,2
225,divx,t0,sample_t0_divx,2012,52,52,3
226,divx,t0,sample_t0_divx,2013,52,52,3
227,divx,t0,sample_t0_divx,2014,53,53,2
