order,outcome,model,horizon,sample_type,term,term_role,coefficient,standard_error,t_statistic,p_value,ci_lower,ci_upper,observations,countries,clusters,effective_years,first_year,last_year,country_fe,year_fe,clustered_by_country,interpretation
1,ECI,ECI_T0_OWN,T0,own,t0_rents,rents,-.0121060962991376,.0044791019,-2.7027955,.0092661344,-.021094071,-.0031181213,1197,53,53,23,1996,2021,1,1,1,Coeficiente focal del horizonte
2,ECI,ECI_T0_OWN,T0,own,t0_inst,institutions,.2989120234588092,.13112578,2.2795825,.026764652,.035788912,.56203514,1197,53,53,23,1996,2021,1,1,1,Coeficiente focal del horizonte
3,ECI,ECI_T0_OWN,T0,own,c.t0_rents#c.t0_inst,interaction,-.0049510905345215,.0037412997,-1.3233612,.19150461,-.012458557,.0025563764,1197,53,53,23,1996,2021,1,1,1,Coeficiente focal del horizonte
4,ECI,ECI_T0_COMMON,T0,common,t0_rents,rents,-.0068791643905605,.003627422,-1.8964334,.063464448,-.014158119,.00039979056,933,53,53,18,2004,2021,1,1,1,Coeficiente focal del horizonte
5,ECI,ECI_T0_COMMON,T0,common,t0_inst,institutions,.3957032763834979,.12667552,3.1237552,.0029173035,.14151026,.64989626,933,53,53,18,2004,2021,1,1,1,Coeficiente focal del horizonte
6,ECI,ECI_T0_COMMON,T0,common,c.t0_rents#c.t0_inst,interaction,-.0056666870247713,.0026796595,-2.1147041,.039267149,-.011043817,-.00028955677,933,53,53,18,2004,2021,1,1,1,Coeficiente focal del horizonte
7,ECI,ECI_T1_OWN,T1,own,t1_rents,rents,-.0109267155734523,.0039141327,-2.7916057,.0073191952,-.018780997,-.0030724332,1148,53,53,22,1997,2021,1,1,1,Coeficiente focal del horizonte
8,ECI,ECI_T1_OWN,T1,own,t1_inst,institutions,.3516074373481942,.12364587,2.8436649,.0063611269,.10349384,.59972101,1148,53,53,22,1997,2021,1,1,1,Coeficiente focal del horizonte
9,ECI,ECI_T1_OWN,T1,own,c.t1_rents#c.t1_inst,interaction,-.0064978640773925,.0028441905,-2.2846093,.026446501,-.01220515,-.00079057837,1148,53,53,22,1997,2021,1,1,1,Coeficiente focal del horizonte
10,ECI,ECI_T1_COMMON,T1,common,t1_rents,rents,-.0063467799519172,.0039475886,-1.6077611,.11394314,-.014268196,.0015746363,933,53,53,18,2004,2021,1,1,1,Coeficiente focal del horizonte
11,ECI,ECI_T1_COMMON,T1,common,t1_inst,institutions,.3793440209553977,.12267019,3.0923896,.0031898215,.13318828,.62549978,933,53,53,18,2004,2021,1,1,1,Coeficiente focal del horizonte
12,ECI,ECI_T1_COMMON,T1,common,c.t1_rents#c.t1_inst,interaction,-.0067538617157933,.0024788887,-2.7245522,.0087494729,-.011728116,-.0017796074,933,53,53,18,2004,2021,1,1,1,Coeficiente focal del horizonte
13,ECI,ECI_T2_OWN,T2,own,t2_ma3_rents,rents,-.0090960686952719,.0051629413,-1.7617997,.083981149,-.019456269,.0012641312,933,53,53,18,2004,2021,1,1,1,Coeficiente focal del horizonte
14,ECI,ECI_T2_OWN,T2,own,t2_ma3_inst,institutions,.4342353934590217,.14146264,3.0696118,.0034024955,.15036984,.71810097,933,53,53,18,2004,2021,1,1,1,Coeficiente focal del horizonte
15,ECI,ECI_T2_OWN,T2,own,t2_ma3_rents_x_inst,interaction,-.0088510614652565,.0032580355,-2.7166867,.0089331223,-.015388788,-.002313335,933,53,53,18,2004,2021,1,1,1,Coeficiente focal del horizonte
16,ECI,ECI_T2_COMMON,T2,common,t2_ma3_rents,rents,-.0090960686952719,.0051629413,-1.7617997,.083981149,-.019456269,.0012641312,933,53,53,18,2004,2021,1,1,1,Coeficiente focal del horizonte
