order,outcome,sample_type,model,term,hypothesis,coefficient,conventional_p,bootstrap_p,ci_lower,ci_upper,observations,countries,repetitions,seed,weight_type
1,ECI,own,T1,t1_rents,t1_rents = 0,-.0109267155734523,.0073191952,.0080008004,-.019641194,-.0026963737,1148,53,9999,2608001,rademacher
2,ECI,own,T1,c.t1_rents#c.t1_inst,c.t1_rents#c.t1_inst = 0,-.0064978640773925,.026446501,.02890289,-.012830209,-.00051731605,1148,53,9999,2608002,rademacher
3,ECI,own,T2,t2_ma3_rents,t2_ma3_rents = 0,-.0090960686952719,.083981149,.099009901,-.020591689,.0017609058,933,53,9999,2608003,rademacher
4,ECI,own,T2,t2_ma3_rents_x_inst,t2_ma3_rents_x_inst = 0,-.0088510614652565,.0089331223,.02090209,-.0165083,-.0011938239,933,53,9999,2608004,rademacher
5,ECI,own,T3,sum_rents_l0_l2,b(L0)+b(L1)+b(L2) = 0,-.009071828817748,.027215023,.02680268,-.018952075,-.0011676312,1140,53,9999,2608005,rademacher
6,DIVX,own,T1,t1_rents,t1_rents = 0,-.0044862321302632,.00097474671,.0020002001,-.0073431563,-.0016293082,1148,53,9999,2608006,rademacher
7,DIVX,own,T1,c.t1_rents#c.t1_inst,c.t1_rents#c.t1_inst = 0,-.0002501729342991,.81554425,.82868284,-.0024937624,.0023893442,1148,53,9999,2608007,rademacher
8,DIVX,own,T2,t2_ma3_rents,t2_ma3_rents = 0,-.0060437467640782,.0012971114,.0047004703,-.010000291,-.0020872026,933,53,9999,2608008,rademacher
9,DIVX,own,T2,t2_ma3_rents_x_inst,t2_ma3_rents_x_inst = 0,-.0002207817629216,.86847377,.88148814,-.0028464915,.0030613553,933,53,9999,2608009,rademacher
10,DIVX,own,T3,sum_rents_l0_l2,b(L0)+b(L1)+b(L2) = 0,-.0060083118271911,.00025185556,.00020002,-.0097920615,-.0027921242,1140,53,9999,2608010,rademacher
