order,outcome,model,term,term_role,omitted_country_id,omitted_country_code,omitted_country_name,omitted_observations,coefficient,standard_error,t_statistic,p_value,ci_lower,ci_upper,reference_coefficient,reference_standard_error,reference_p_cluster,reference_p_bootstrap,absolute_coefficient_difference,relative_absolute_difference,deviation_in_reference_se,sign_match,significant_5,reference_significant_5,observations,reference_observations,countries,clusters
122,DIVX,T1,c.t1_rents#c.t1_inst,interaction,8,BOL,Bolivia,22,-.0002399549140003,.001064482,-.2254194,.82255387,-.0023769918,.0018970821,-.00025017295,.0010669918,.81554425,.82868284,.00001021802,.04084383,.0095764752,1,0,0,1126,1148,52,52
154,DIVX,T1,c.t1_rents#c.t1_inst,interaction,24,IDN,Indonesia,22,-.0002895838516525,.0010660429,-.27164373,.78699261,-.0024297542,.0018505865,-.00025017295,.0010669918,.81554425,.82868284,.000039410916,.1575347,.036936477,1,0,0,1126,1148,52,52
126,DIVX,T1,c.t1_rents#c.t1_inst,interaction,10,CAF,Central African Republic,22,-.0002650499424569,.0010667273,-.24847019,.80476844,-.0024065946,.0018764946,-.00025017295,.0010669918,.81554425,.82868284,.000014877008,.059466898,.013942945,1,0,0,1126,1148,52,52
206,DIVX,T1,c.t1_rents#c.t1_inst,interaction,52,VNM,Vietnam,22,-.0002601171617806,.0010687719,-.24337947,.80868775,-.0024057664,.0018855321,-.00025017295,.0010669918,.81554425,.82868284,9.9442277e-06,.039749414,.0093198726,1,0,0,1126,1148,52,52
156,DIVX,T1,c.t1_rents#c.t1_inst,interaction,25,IND,India,22,-.0002542410594435,.0010675204,-.2381604,.812711,-.0023973775,.0018888954,-.00025017295,.0010669918,.81554425,.82868284,4.0681252e-06,.016261252,.0038127052,1,0,0,1126,1148,52,52
194,DIVX,T1,c.t1_rents#c.t1_inst,interaction,46,SUR,Suriname,20,-.0005903043897203,.0010143603,-.58194745,.56316584,-.0026267176,.0014461089,-.00025017295,.0010669918,.81554425,.82868284,.00034013146,1.3595854,.31877607,1,0,0,1128,1148,52,52
196,DIVX,T1,c.t1_rents#c.t1_inst,interaction,47,SYC,Seychelles,22,-.000276604923635,.0010595254,-.26106495,.79509377,-.0024036909,.001850481,-.00025017295,.0010669918,.81554425,.82868284,.00002643199,.10565487,.024772439,1,0,0,1126,1148,52,52
202,DIVX,T1,c.t1_rents#c.t1_inst,interaction,50,TTO,Trinidad and Tobago,22,-.0002740366784501,.0010742627,-.2550928,.79967737,-.0024307091,.0018826358,-.00025017295,.0010669918,.81554425,.82868284,.000023863744,.095388994,.022365443,1,0,0,1126,1148,52,52
160,DIVX,T1,c.t1_rents#c.t1_inst,interaction,27,IRQ,Iraq,22,-.0000283223991468,.0012734988,-.022239832,.98234344,-.0025849778,.0025283331,-.00025017295,.0010669918,.81554425,.82868284,.00022185054,.88678873,.2079215,1,0,0,1126,1148,52,52
108,DIVX,T1,c.t1_rents#c.t1_inst,interaction,1,AGO,Angola,22,-.0002789642267737,.0011544153,-.24164981,.81002051,-.0025965497,.0020386211,-.00025017295,.0010669918,.81554425,.82868284,.000028791292,.11508556,.026983611,1,0,0,1126,1148,52,52
