order,term,xtreg_coefficient,reghdfe_coefficient,absolute_coefficient_difference,xtreg_standard_error,reghdfe_standard_error,absolute_se_difference,coefficient_match
1,rents,-0.0035361282,-0.0035361282,0.0000000000,0.0012959506,0.0012959506,0.0000000000,1
2,inst,0.0174719903,0.0174719896,0.0000000000,0.0281851105,0.0281851105,0.0000000000,1
3,c.rents#c.inst,0.0009478412,0.0009478412,0.0000000000,0.0011841657,0.0011841657,0.0000000000,1
4,ln1p_oilpc,0.0076432353,0.0076432354,0.0000000000,0.0089843161,0.0089843161,0.0000000000,1
5,ln1p_gaspc,0.0049354398,0.0049354397,0.0000000000,0.0066613108,0.0066613108,0.0000000000,1
6,ln1p_coalpc,-0.0085477452,-0.0085477456,0.0000000000,0.0078384858,0.0078384858,0.0000000000,1
7,pexp,0.0015329973,0.0015329972,0.0000000000,0.0006266223,0.0006266223,0.0000000000,1
8,fexp,-0.0010625254,-0.0010625253,0.0000000000,0.0009784116,0.0009784116,0.0000000000,1
9,vol,0.0008482359,0.0008482359,0.0000000000,0.0009541627,0.0009541627,0.0000000000,1
10,rer,-0.0397071118,-0.0397071131,0.0000000000,0.0359115452,0.0359115452,0.0000000000,1
11,humcap,0.1068870624,0.1068870649,0.0000000000,0.0443140678,0.0443140678,0.0000000000,1
12,innov,0.0111982518,0.0111982515,0.0000000000,0.0136465468,0.0136465468,0.0000000000,1
13,net,-0.0007413849,-0.0007413849,0.0000000000,0.0003525321,0.0003525321,0.0000000000,1
14,log_gdppc,-0.1455512230,-0.1455512196,0.0000000000,0.0350522287,0.0350522287,0.0000000000,1
15,govcons,0.0032385265,0.0032385264,0.0000000000,0.0017626542,0.0017626542,0.0000000000,1
16,fin,0.0006048568,0.0006048568,0.0000000000,0.0003671934,0.0003671934,0.0000000000,1
