model,excluded_country_id,excluded_country_iso3,term,base_coefficient,coefficient,standard_error,p_value,observations,countries,sign_reversal,significant_5,significant_10
DIVX,1,AGO,RENTS,-0.003536,-0.003737,0.001314,0.006566,1023,48,0,1,1
DIVX,2,ALB,RENTS,-0.003536,-0.003518,0.001300,0.009443,1021,48,0,1,1
DIVX,3,ARE,RENTS,-0.003536,-0.003631,0.001413,0.013433,1021,48,0,1,1
DIVX,4,ATG,RENTS,-0.003536,-0.003636,0.001284,0.006812,1023,48,0,1,1
DIVX,5,AUS,RENTS,-0.003536,-0.003022,0.001282,0.022610,1024,48,0,1,1
DIVX,6,BDI,RENTS,-0.003536,-0.003419,0.001283,0.010528,1021,48,0,1,1
DIVX,7,BHR,RENTS,-0.003536,-0.003544,0.001298,0.008897,1027,48,0,1,1
DIVX,8,BOL,RENTS,-0.003536,-0.003540,0.001316,0.009864,1021,48,0,1,1
DIVX,9,BRN,RENTS,-0.003536,-0.003660,0.001353,0.009505,1023,48,0,1,1
DIVX,10,CAF,RENTS,-0.003536,-0.003349,0.001267,0.011115,1023,48,0,1,1
DIVX,11,CHL,RENTS,-0.003536,-0.003217,0.001384,0.024461,1021,48,0,1,1
DIVX,12,CMR,RENTS,-0.003536,-0.003560,0.001306,0.008992,1024,48,0,1,1
DIVX,13,COD,RENTS,-0.003536,-0.003159,0.001281,0.017359,1026,48,0,1,1
DIVX,14,COG,RENTS,-0.003536,-0.003442,0.001310,0.011544,1023,48,0,1,1
DIVX,15,COL,RENTS,-0.003536,-0.003559,0.001304,0.008876,1021,48,0,1,1
DIVX,16,DZA,RENTS,-0.003536,-0.003477,0.001300,0.010241,1021,48,0,1,1
DIVX,17,ECU,RENTS,-0.003536,-0.003548,0.001301,0.008947,1021,48,0,1,1
DIVX,18,EGY,RENTS,-0.003536,-0.003544,0.001292,0.008592,1021,48,0,1,1
DIVX,19,GAB,RENTS,-0.003536,-0.003383,0.001335,0.014707,1023,48,0,1,1
DIVX,20,GHA,RENTS,-0.003536,-0.003546,0.001310,0.009445,1021,48,0,1,1
DIVX,21,GIN,RENTS,-0.003536,-0.003581,0.001303,0.008488,1021,48,0,1,1
